,attachments,author_id,created_at,id,text,category,retweet_count,reply_count,like_count,quote_count,edit_history_tweet_ids
0,,1.47575946997625e+18,2022-09-04 16:08:15+00:00,1.56645812830851e+18,"RT @s8mrs: 【買取】ハイキュー クロニクル フォトカード フォトカ 選手名鑑カード コレ缶

〈譲〉定価（＋送料）
※定価のないものはリプライにてご提示ください

〈求〉画像の田中 京谷

▶︎郵送/都内手渡し
▶︎紙類は3〜、コレ缶は1点から◎
▶︎ゆうちょ/Pay…",0.0,17.0,0.0,0.0,0.0,
1,,1.5658748878223e+18,2022-09-04 16:07:21+00:00,1.56645789866201e+18,"困ってませんか⁉️

騙される前に🙇‍♂️

口座買取3年の実績🌸

犯罪には絶対使いません🈲

開設アプリから可能です‼️
急げば明日満額着金‼️‼️

⬇️即日対応
三井新品5(中古相談)
りそな3
⬆️満額

対応銀行増加中⤴️
ゆうちょ
三菱
みずほ
セブン
他の銀行も⭕️⭕️

まずはDM📩
87
#個人融資",1.0,0.0,0.0,0.0,0.0,
2,,1.45666222291537e+18,2022-09-04 16:06:48+00:00,1.5664577619822e+18,@kuroshio_46 みずほの地元はイナイレ映らんもんな、、,2.0,0.0,0.0,0.0,0.0,
3,,1.5658748878223e+18,2022-09-04 16:05:56+00:00,1.56645754521218e+18,"困ってませんか⁉️

騙される前に🙇‍♂️

口座買取3年の実績🌸

犯罪には絶対使いません🈲

開設アプリから可能です‼️
急げば明日満額着金‼️‼️

⬇️即日対応
三井新品5(中古相談)
りそな3
⬆️満額

対応銀行増加中⤴️
ゆうちょ
三菱
みずほ
セブン
他の銀行も⭕️⭕️

まずはDM📩
86
#個人融資",1.0,0.0,0.0,0.0,0.0,
4,,2860389133.0,2022-09-04 16:05:23+00:00,1.5664574065401e+18,"RT @ProfShimada: 文字通りのテロ犯罪カルト集団・北朝鮮と「接点」のある政治家は問題にしないのか。
福島“現実を”みずほ氏など「ズブズブ」だろう",2.0,700.0,0.0,0.0,0.0,
5,,1.50190184049739e+18,2022-09-04 16:05:02+00:00,1.5664573153895e+18,RT @jda1BekUDve1ccx: 「文字通りの犯罪カルト集団・北朝鮮と『接点』のある政治家は問題にしないのか。福島“現実を”みずほ氏など『ズブズブ』だろう」と島田洋一氏。辻元清美氏や彼女の大ファンのヤマタク氏もそうです。,22.0,350.0,0.0,0.0,0.0,
6,,1.5658748878223e+18,2022-09-04 16:04:45+00:00,1.56645724588149e+18,"困ってませんか⁉️

騙される前に🙇‍♂️

口座買取3年の実績🌸

犯罪には絶対使いません🈲

開設アプリから可能です‼️
急げば明日満額着金‼️‼️

⬇️即日対応
三井新品5(中古相談)
りそな3
⬆️満額

対応銀行増加中⤴️
ゆうちょ
三菱
みずほ
セブン
他の銀行も⭕️⭕️

まずはDM📩
85
#個人融資",1.0,0.0,0.0,0.0,0.0,
7,,1.52245631128732e+18,2022-09-04 16:01:52+00:00,1.56645651963357e+18,みずほ銀行OTEMORI第一出張所は東京名所だと思う,3.0,0.0,0.0,0.0,0.0,
8,,125938071.0,2022-09-04 16:00:44+00:00,1.56645623704191e+18,劣化する日本の購買力②【輸出物価と輸入物価】｜唐鎌大輔(みずほ銀行 チーフマーケット・エコノミスト) #日経COMEMO https://t.co/skpEVjEZpB,3.0,0.0,0.0,0.0,0.0,
9,,1.5658748878223e+18,2022-09-04 16:00:29+00:00,1.5664561743165e+18,"困ってませんか⁉️

騙される前に🙇‍♂️

口座買取3年の実績🌸

犯罪には絶対使いません🈲

開設アプリから可能です‼️
急げば明日満額着金‼️‼️

⬇️即日対応
三井新品5(中古相談)
りそな3
⬆️満額

対応銀行増加中⤴️
ゆうちょ
三菱
みずほ
セブン
他の銀行も⭕️⭕️

まずはDM📩
80
#個人融資",1.0,0.0,0.0,0.0,0.0,
